what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515718
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515734
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515734
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515734
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515734
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515734
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515734
error,log,,,"Unhandled event loop exception",1331075515750
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515796
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515796
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515796
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515796
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515796
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515796
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515796
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515796
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515796
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515796
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515796
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515796
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515796
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515796
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515796
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515796
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515812
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515812
error,log,,,"Unhandled event loop exception",1331075515812
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$1.doRemove: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075515875
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$1.doRemove: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075515875
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075515921
error,log,,,"Unhandled event loop exception",1331075515937
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516015
error,log,,,"Unhandled event loop exception",1331075516031
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516078
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516078
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516078
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516078
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516078
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516078
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516078
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516078
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516093
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516093
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516093
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516093
error,log,,,"Unhandled event loop exception",1331075516109
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516343
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516343
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516343
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516343
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516343
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516343
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516343
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516343
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516343
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516343
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516359
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516359
error,log,,,"Unhandled event loop exception",1331075516359
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516421
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516421
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516421
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516421
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516421
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516421
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516421
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516421
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516421
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516437
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516437
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516437
error,log,,,"Unhandled event loop exception",1331075516437
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516500
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516500
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516500
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516500
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516500
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516500
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516500
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516500
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516500
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1331075516500
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516500
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1331075516500
error,log,,,"Unhandled event loop exception",1331075516515
error,log,,,"Unhandled event loop exception",1331075516578
error,log,,,"Unhandled event loop exception",1331075516703
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516750
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
error,log,,,"Undefined context while filtering dialog/window contexts",1331075516765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331075516781
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331075516828
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331075516828
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1331075516859
closed,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1331075516875
error,log,,,"Unhandled event loop exception",1331075516937
error,log,,,"The command (""org.eclipse.debug.ui.commands.ToggleLineBreakpoint"") is undefined",1331075517093
error,log,,,"Unhandled event loop exception",1331075517093
error,log,,,"Unhandled event loop exception",1331075517187
error,log,,,"Unhandled event loop exception",1331075517265
error,log,,,"Unhandled event loop exception",1331075517328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331075517343
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517406
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517421
error,log,,,"Unhandled event loop exception",1331075517468
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517484
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517484
error,log,,,"Unhandled event loop exception",1331075517515
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517531
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517531
error,log,,,"Unhandled event loop exception",1331075517593
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517625
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517625
error,log,,,"The command (""org.eclipse.debug.ui.commands.ToggleLineBreakpoint"") is undefined",1331075517687
error,log,,,"Unhandled event loop exception",1331075517687
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517750
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517750
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517750
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517750
error,log,,,"Unhandled event loop exception",1331075517796
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517843
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517843
error,log,,,"Unhandled event loop exception",1331075517843
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517906
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517906
error,log,,,"Unhandled event loop exception",1331075517937
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517953
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075517953
error,log,,,"Unhandled event loop exception",1331075517984
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518015
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518015
error,log,,,"Unhandled event loop exception",1331075518046
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518062
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518062
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518125
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518125
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518140
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518140
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518171
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518171
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518171
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518171
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1331075518203
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518203
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518203
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518234
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518234
error,log,,,"Unhandled event loop exception",1331075518265
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518281
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518281
error,log,,,"Unhandled event loop exception",1331075518328
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518359
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518375
error,log,,,"Unhandled event loop exception",1331075518406
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518437
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518437
error,log,,,"Unhandled event loop exception",1331075518484
error,log,,,"Unhandled event loop exception",1331075518546
error,log,,,"Unhandled event loop exception",1331075518593
error,log,,,"Unhandled event loop exception",1331075518609
error,log,,,"Unhandled event loop exception",1331075518656
error,log,,,"Unhandled event loop exception",1331075518703
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518718
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518718
error,log,,,"Unhandled event loop exception",1331075518750
error,log,,,"Unhandled event loop exception",1331075518812
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518843
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518843
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518859
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518859
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518890
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1331075518890
