----- Derivative of Residuals w.r.t design variable -----
Node #      R1_B                 R2_B                 R3_B                 R4_B
    0   -2.8448762962e-05   -2.3263625893e-05   -1.1085508726e-05   -8.1098694918e-05
    1   -1.5606656584e-06   -9.1504448423e-07    1.7275680739e-07   -4.1610214791e-06
    2   -5.7106662200e-07   -5.9803119173e-07    1.3280445243e-07   -1.6675457176e-06
    3   -3.6910928683e-07   -3.2615128216e-07   -7.9028804735e-08   -1.0532904955e-06
    4   -2.4020546306e-07   -2.3773017827e-07   -4.7837608184e-08   -7.0129934657e-07
    5   -1.3563034352e-07   -1.3667496695e-07   -4.0799488878e-08   -3.9771354892e-07
    6   -1.0194804714e-07   -1.0520046785e-07   -2.8386940247e-08   -2.9941112554e-07
    7   -6.0554169916e-08   -6.0095940622e-08   -2.2224370143e-08   -1.7721730625e-07
    8   -5.0590301545e-08   -5.0333113025e-08   -1.6942326740e-08   -1.4749899826e-07
    9   -4.1987107694e-08   -3.9334163948e-08   -2.2237983590e-08   -1.2113441417e-07
   10   -3.7393532314e-08   -4.6683958487e-08   -1.3772584548e-08   -1.1495344082e-07
   11   -3.1359929702e-08   -4.0770802345e-08    8.6218647404e-10   -9.6020168512e-08
   12   -2.1197803261e-08   -2.9141331071e-08    6.1118492335e-09   -6.5724380624e-08
   13   -1.1384943155e-08   -2.1735494021e-08    9.2310106874e-09   -3.8801168890e-08
   14   -2.2111482765e-09   -8.2383742866e-09    5.9926670075e-09   -9.7597363505e-09
   15    9.4775443907e-09    4.5665341388e-09    1.3417699384e-08    2.4644982549e-08
   16    2.8163824968e-08    1.8980593145e-08    3.5478335477e-08    7.5518406263e-08
   17    8.1386183251e-08    6.8240650912e-08    3.9149713102e-08    2.2534260457e-07
   18    1.4950793551e-07    1.5176071068e-07   -1.1360019854e-08    4.2995429827e-07
   19    2.7785812442e-07    2.7863018667e-07   -1.7108830381e-07    7.9754973521e-07
   20    2.5617740618e-07    2.9829304062e-07   -1.2765125056e-07    7.6400956133e-07
   21    2.0674346472e-07    2.3632983179e-07   -3.8822171664e-08    6.1259159011e-07
   22    2.7063650582e-07    3.1427864043e-07    1.9262754655e-07    7.8980419214e-07
